customer_id,transaction_date,amount,day_of_week,day_number,hour,week_number,month,quarter,days_since_purchase
101,2025-01-15 09:30:45,1200,Wednesday,2,9,3,1,1,558
101,2025-01-18 14:20:10,1500,Saturday,5,14,3,1,1,554
102,2025-01-20 11:15:00,900,Monday,0,11,4,1,1,553
103,2025-01-25 18:45:30,2000,Saturday,5,18,4,1,1,547
101,2025-02-02 08:10:00,1800,Sunday,6,8,5,2,1,540
102,2025-02-05 16:30:25,1100,Wednesday,2,16,6,2,1,536
103,2025-02-10 20:15:40,2500,Monday,0,20,7,2,1,531
104,2025-02-15 10:00:00,1700,Saturday,5,10,7,2,1,527
105,2025-02-18 13:40:55,950,Tuesday,1,13,8,2,1,523
104,2025-02-22 19:10:15,2100,Saturday,5,19,8,2,1,519
